Individual,MatchNo,Team1,Team2,Date,Time,Venue,Leg
1,54,Ismaily,Ceramica,2025-08-03,17:00,Alexandria Stadium,1
1,55,ENPPI,Al Ahly,2025-08-12,17:00,Zed Club Stadium,2
1,56,Wadi Degla,Ismaily,2025-10-07,20:00,Borg El Arab,2
1,57,ENPPI,National Bank,2025-05-27,17:00,El Sekka El Hadeed Stadium,1
1,58,Wadi Degla,Talaea El Gaish,2025-07-31,17:00,Cairo Stadium,2
1,59,Modern Sport,Pyramids,2025-07-19,17:00,Al Salam Stadium,2
1,60,Modern Sport,Wadi Degla,2025-07-08,20:00,Cairo Stadium,1
1,61,Wadi Degla,Ceramica,2025-06-16,20:00,Suez Stadium,2
1,62,ENPPI,El Dakhleya,2025-05-01,17:00,Suez Stadium,1
1,63,Pyramids,ENPPI,2025-11-08,17:00,Suez Stadium,1
1,64,Masry,El Dakhleya,2025-09-12,20:00,Al Salam Stadium,1
1,65,National Bank,Zamalek,2025-11-20,20:00,Military Academy Stadium,2
1,66,Zed,Alexandria Union,2025-12-22,17:00,Borg El Arab,2
1,67,Ceramica,Zamalek,2025-12-22,20:00,Al Salam Stadium,2
1,68,Ceramica,Zed,2025-12-16,17:00,Cairo Stadium,1
1,69,Wadi Degla,Masry,2026-01-11,20:00,Suez Stadium,2
1,70,El Gouna,El Dakhleya,2025-07-06,17:00,Suez Stadium,2
1,71,Modern Sport,Masry,2025-07-14,20:00,Alexandria Stadium,2
1,72,Ceramica,Talaea El Gaish,2025-12-26,17:00,Petro Sport Stadium,1
1,73,Alexandria Union,Future,2025-09-26,17:00,Military Academy Stadium,2
1,74,Alexandria Union,Ismaily,2025-08-20,17:00,Al Salam Stadium,2
1,75,Future,Modern Sport,2025-10-01,20:00,Al Salam Stadium,1
1,76,Masry,Zed,2025-06-23,17:00,Suez Stadium,1
1,77,Pyramids,Smouha,2025-11-26,20:00,Suez Stadium,1
1,78,Al Ahly,Zed,2025-09-08,20:00,El Sekka El Hadeed Stadium,1
1,79,ENPPI,Pyramids,2025-12-07,17:00,Military Academy Stadium,2
1,80,Pharco,El Dakhleya,2025-07-29,20:00,El Sekka El Hadeed Stadium,2
1,81,Future,Pyramids,2025-05-23,17:00,Military Academy Stadium,2
1,82,Modern Sport,Zamalek,2025-06-14,20:00,Cairo Stadium,2
1,83,Al Ahly,Alexandria Union,2025-06-10,20:00,Petro Sport Stadium,1
1,84,Ceramica,Al Ahly,2025-06-29,20:00,Alexandria Stadium,2
1,85,Ismaily,El Dakhleya,2025-10-19,20:00,Suez Stadium,1
1,86,El Dakhleya,National Bank,2025-06-06,17:00,Petro Sport Stadium,2
1,87,Talaea El Gaish,Ceramica,2025-05-02,17:00,El Sekka El Hadeed Stadium,2
1,88,Smouha,El Dakhleya,2025-05-23,17:00,Military Academy Stadium,1
1,89,Zamalek,Wadi Degla,2025-07-03,17:00,Military Academy Stadium,1
1,90,Zamalek,Ismaily,2026-01-28,20:00,Al Salam Stadium,1
1,91,Al Ahly,Pyramids,2026-01-13,17:00,Air Defense Stadium,1
1,92,Wadi Degla,Zed,2025-07-24,20:00,Military Academy Stadium,2
1,93,Smouha,Wadi Degla,2025-12-08,20:00,Borg El Arab,1
1,94,Pyramids,Al Ahly,2025-08-10,17:00,El Sekka El Hadeed Stadium,2
1,95,ENPPI,Masry,2026-01-18,20:00,El Sekka El Hadeed Stadium,2
1,96,Zamalek,Pharco,2025-05-08,17:00,Air Defense Stadium,1
1,97,Pyramids,Wadi Degla,2025-08-28,17:00,Zed Club Stadium,1
1,98,Ismaily,Alexandria Union,2025-09-12,17:00,El Sekka El Hadeed Stadium,1
1,99,Talaea El Gaish,Modern Sport,2025-07-27,20:00,Alexandria Stadium,1
1,100,Masry,Al Ahly,2025-06-17,17:00,Military Academy Stadium,2
1,101,Modern Sport,Alexandria Union,2025-12-29,17:00,El Sekka El Hadeed Stadium,2
1,102,ENPPI,Alexandria Union,2025-08-02,17:00,Zed Club Stadium,1
1,103,Wadi Degla,Modern Sport,2025-08-22,17:00,Military Academy Stadium,2
1,104,Smouha,Alexandria Union,2025-09-29,17:00,Petro Sport Stadium,1
1,105,Pharco,Zamalek,2026-01-12,17:00,Borg El Arab,2
1,106,Ismaily,Zamalek,2025-05-07,17:00,El Sekka El Hadeed Stadium,2
1,107,Modern Sport,ENPPI,2025-05-30,17:00,Suez Stadium,2
1,108,Al Ahly,Future,2025-08-03,17:00,Alexandria Stadium,1
1,109,Talaea El Gaish,Al Ahly,2025-06-20,17:00,El Sekka El Hadeed Stadium,2
1,110,Pyramids,Pharco,2025-12-11,17:00,Alexandria Stadium,1
1,111,Wadi Degla,Zamalek,2026-01-18,17:00,Borg El Arab,2
1,112,Future,Zamalek,2025-07-08,17:00,Petro Sport Stadium,2
1,113,Masry,Smouha,2025-07-29,20:00,Alexandria Stadium,1
1,114,Zed,Pharco,2025-11-24,17:00,El Sekka El Hadeed Stadium,1
1,115,El Dakhleya,Zamalek,2025-05-20,17:00,Suez Stadium,2
1,116,National Bank,Ismaily,2025-10-08,17:00,Military Academy Stadium,2
1,117,Modern Sport,Ceramica,2025-10-07,17:00,Zed Club Stadium,2
1,118,National Bank,Pyramids,2025-05-19,20:00,Zed Club Stadium,2
1,119,Al Ahly,Ceramica,2025-11-04,17:00,El Sekka El Hadeed Stadium,1
1,120,El Dakhleya,Talaea El Gaish,2025-12-03,20:00,Military Academy Stadium,2
1,121,Zamalek,Masry,2025-12-12,17:00,Alexandria Stadium,1
1,122,Alexandria Union,Talaea El Gaish,2025-11-16,17:00,Cairo Stadium,2
1,123,Alexandria Union,ENPPI,2025-11-14,17:00,Military Academy Stadium,2
1,124,Ceramica,Alexandria Union,2025-12-26,20:00,Borg El Arab,1
1,125,El Dakhleya,Wadi Degla,2025-05-18,17:00,Suez Stadium,1
1,126,Zamalek,Zed,2025-06-22,17:00,Petro Sport Stadium,1
1,127,Pyramids,Future,2025-06-04,17:00,Cairo Stadium,1
1,128,Alexandria Union,Ceramica,2025-09-15,20:00,Borg El Arab,2
1,129,El Gouna,Alexandria Union,2025-07-16,20:00,Zed Club Stadium,2
1,130,National Bank,Future,2025-07-24,20:00,Borg El Arab,2
1,131,Ismaily,Zed,2025-11-18,20:00,Zed Club Stadium,1
1,132,Ismaily,Talaea El Gaish,2026-01-13,17:00,Alexandria Stadium,1
1,133,Masry,Talaea El Gaish,2025-07-22,20:00,El Sekka El Hadeed Stadium,1
1,134,Ismaily,Pyramids,2026-01-29,20:00,Suez Stadium,2
1,135,Pyramids,Zed,2025-09-22,20:00,Alexandria Stadium,1
1,136,Smouha,Talaea El Gaish,2025-12-25,17:00,Military Academy Stadium,1
1,137,Pyramids,Masry,2025-07-16,17:00,El Sekka El Hadeed Stadium,1
1,138,Al Ahly,El Gouna,2025-06-05,17:00,El Sekka El Hadeed Stadium,1
1,139,Al Ahly,Zamalek,2025-12-26,17:00,Petro Sport Stadium,1
1,140,Masry,Ismaily,2026-01-30,17:00,Military Academy Stadium,1
1,141,Talaea El Gaish,Zed,2025-05-25,20:00,Air Defense Stadium,1
1,142,Future,Smouha,2025-12-21,20:00,Suez Stadium,1
1,143,Future,National Bank,2025-11-09,17:00,Petro Sport Stadium,1
1,144,National Bank,Al Ahly,2025-08-14,17:00,Military Academy Stadium,2
1,145,Pharco,Ismaily,2025-11-29,20:00,Borg El Arab,2
1,146,Al Ahly,Pharco,2025-07-18,20:00,El Sekka El Hadeed Stadium,1
1,147,El Dakhleya,ENPPI,2026-01-03,17:00,Borg El Arab,2
1,148,Smouha,Future,2025-12-23,20:00,Suez Stadium,2
1,149,Masry,El Gouna,2025-07-09,17:00,El Sekka El Hadeed Stadium,1
1,150,El Dakhleya,Modern Sport,2026-01-12,20:00,Borg El Arab,1
1,151,Al Ahly,Modern Sport,2026-01-02,17:00,El Sekka El Hadeed Stadium,1
1,152,Al Ahly,National Bank,2025-05-05,17:00,El Sekka El Hadeed Stadium,1
1,153,Zed,Masry,2025-06-18,20:00,Cairo Stadium,2
1,154,Alexandria Union,National Bank,2025-11-30,20:00,Zed Club Stadium,2
1,155,El Dakhleya,Ismaily,2025-07-17,20:00,Air Defense Stadium,2
1,156,Smouha,Pharco,2026-01-26,20:00,Petro Sport Stadium,1
1,157,Ismaily,Pharco,2025-12-17,20:00,El Sekka El Hadeed Stadium,1
1,158,Talaea El Gaish,Smouha,2025-08-18,17:00,Air Defense Stadium,2
1,159,Zed,National Bank,2025-07-23,17:00,Alexandria Stadium,2
1,160,Ceramica,ENPPI,2025-12-24,20:00,Suez Stadium,2
1,161,Wadi Degla,Smouha,2026-01-27,17:00,Al Salam Stadium,2
1,162,National Bank,Wadi Degla,2025-06-21,20:00,Al Salam Stadium,1
1,163,El Gouna,Pharco,2025-12-22,17:00,Military Academy Stadium,1
1,164,Future,Zed,2025-06-04,20:00,Alexandria Stadium,1
1,165,Wadi Degla,Pyramids,2025-08-03,20:00,Alexandria Stadium,2
1,166,Ismaily,Modern Sport,2025-05-30,17:00,Air Defense Stadium,1
1,167,Future,Pharco,2025-08-23,17:00,Military Academy Stadium,1
1,168,ENPPI,Future,2026-01-01,17:00,Borg El Arab,2
1,169,Future,ENPPI,2025-08-02,20:00,Alexandria Stadium,1
1,170,El Gouna,ENPPI,2025-09-09,17:00,Air Defense Stadium,2
1,171,El Dakhleya,Zed,2025-12-29,17:00,Military Academy Stadium,1
1,172,Alexandria Union,El Dakhleya,2025-12-13,17:00,Zed Club Stadium,1
1,173,Pharco,ENPPI,2025-05-08,20:00,Military Academy Stadium,2
1,174,Future,El Dakhleya,2025-05-15,20:00,Petro Sport Stadium,1
1,175,El Gouna,Zamalek,2026-01-10,17:00,Suez Stadium,2
1,176,Alexandria Union,Al Ahly,2025-07-12,17:00,Borg El Arab,2
1,177,El Dakhleya,Al Ahly,2026-01-27,20:00,Cairo Stadium,2
1,178,Masry,Zamalek,2025-10-19,17:00,El Sekka El Hadeed Stadium,2
1,179,Wadi Degla,Pharco,2026-01-24,20:00,Zed Club Stadium,2
1,180,Smouha,Ceramica,2025-07-17,17:00,Zed Club Stadium,1
1,181,Smouha,El Gouna,2025-06-08,20:00,Cairo Stadium,1
1,182,ENPPI,Ismaily,2025-10-22,17:00,Borg El Arab,2
1,183,Zed,Wadi Degla,2025-07-16,20:00,Al Salam Stadium,1
1,184,National Bank,Ceramica,2025-11-17,20:00,El Sekka El Hadeed Stadium,2
1,185,Modern Sport,Pharco,2025-11-21,20:00,Zed Club Stadium,1
1,186,Pyramids,Modern Sport,2025-06-20,17:00,Al Salam Stadium,1
1,187,National Bank,El Dakhleya,2025-08-27,17:00,Cairo Stadium,1
1,188,Pharco,El Gouna,2025-09-22,17:00,Petro Sport Stadium,2
1,189,Zamalek,National Bank,2025-12-27,20:00,Alexandria Stadium,1
1,190,Alexandria Union,Zed,2026-01-26,17:00,Suez Stadium,1
1,191,Zamalek,Pyramids,2025-11-11,17:00,Cairo Stadium,1
1,192,Pharco,Ceramica,2026-01-29,20:00,El Sekka El Hadeed Stadium,2
1,193,El Gouna,Pyramids,2025-10-02,17:00,El Sekka El Hadeed Stadium,2
1,194,Modern Sport,Zed,2025-08-06,17:00,Suez Stadium,2
1,195,Masry,Alexandria Union,2026-01-25,20:00,El Sekka El Hadeed Stadium,1
1,196,National Bank,Modern Sport,2025-12-03,20:00,Alexandria Stadium,1
1,197,Future,Alexandria Union,2026-01-02,17:00,Alexandria Stadium,1
1,198,Zed,Ismaily,2025-07-11,17:00,Military Academy Stadium,2
1,199,Masry,Ceramica,2025-10-09,20:00,Petro Sport Stadium,1
1,200,Alexandria Union,Pyramids,2026-01-01,20:00,Military Academy Stadium,2
1,201,Modern Sport,Future,2025-08-02,17:00,Alexandria Stadium,2
1,202,El Gouna,Talaea El Gaish,2026-01-25,17:00,El Sekka El Hadeed Stadium,2
1,203,El Dakhleya,Alexandria Union,2025-06-12,20:00,Al Salam Stadium,2
1,204,Zed,Future,2025-12-27,20:00,Air Defense Stadium,2
1,205,Pharco,Future,2025-05-15,20:00,Petro Sport Stadium,2
1,206,El Gouna,Zed,2025-06-01,20:00,Zed Club Stadium,1
1,207,Al Ahly,Wadi Degla,2025-11-29,17:00,Petro Sport Stadium,1
1,208,National Bank,Pharco,2025-05-12,20:00,Suez Stadium,1
1,209,Smouha,Modern Sport,2025-07-16,17:00,Military Academy Stadium,1
1,210,Zamalek,Smouha,2025-09-24,20:00,Borg El Arab,1
1,211,El Dakhleya,Pharco,2025-11-11,20:00,Borg El Arab,1
1,212,Talaea El Gaish,El Gouna,2025-11-10,20:00,Al Salam Stadium,1
1,213,Future,Ismaily,2025-11-05,20:00,Al Salam Stadium,1
1,214,Talaea El Gaish,El Dakhleya,2025-05-21,17:00,Zed Club Stadium,1
1,215,Ismaily,Masry,2026-01-20,17:00,Suez Stadium,2
1,216,Talaea El Gaish,Ismaily,2025-09-01,17:00,Air Defense Stadium,2
1,217,Masry,Pharco,2025-12-04,17:00,Suez Stadium,1
1,218,Al Ahly,Talaea El Gaish,2025-07-20,17:00,El Sekka El Hadeed Stadium,1
1,219,El Gouna,Future,2025-12-17,20:00,El Sekka El Hadeed Stadium,2
1,220,Ceramica,El Gouna,2025-10-26,17:00,Petro Sport Stadium,1
1,221,Ceramica,Pharco,2025-05-10,20:00,Borg El Arab,1
1,222,Modern Sport,El Gouna,2025-12-05,20:00,Al Salam Stadium,2
1,223,National Bank,Zed,2025-05-05,20:00,Suez Stadium,1
1,224,Smouha,Zamalek,2025-08-01,20:00,Al Salam Stadium,2
1,225,El Gouna,Masry,2026-01-04,17:00,Cairo Stadium,2
1,226,Future,El Gouna,2025-10-05,17:00,Petro Sport Stadium,1
1,227,Ceramica,National Bank,2026-01-12,20:00,Petro Sport Stadium,1
1,228,ENPPI,Wadi Degla,2026-01-07,17:00,Military Academy Stadium,1
1,229,Wadi Degla,Alexandria Union,2025-07-25,17:00,Borg El Arab,2
1,230,Masry,Modern Sport,2026-01-03,17:00,Al Salam Stadium,1
1,231,Alexandria Union,Modern Sport,2025-08-25,17:00,Al Salam Stadium,1
1,232,Talaea El Gaish,Pyramids,2025-07-22,20:00,Al Salam Stadium,2
1,233,Al Ahly,Smouha,2025-10-20,20:00,Suez Stadium,1
1,234,Future,Al Ahly,2025-08-20,17:00,Petro Sport Stadium,2
1,235,ENPPI,El Gouna,2025-11-17,20:00,Borg El Arab,1
1,236,El Dakhleya,El Gouna,2025-07-17,17:00,Suez Stadium,1
1,237,Al Ahly,Masry,2025-08-19,17:00,Suez Stadium,1
1,238,Modern Sport,El Dakhleya,2025-09-02,17:00,El Sekka El Hadeed Stadium,2
1,239,Future,Talaea El Gaish,2025-11-26,20:00,Al Salam Stadium,1
1,240,Talaea El Gaish,Future,2025-08-19,17:00,Air Defense Stadium,2
1,241,Alexandria Union,Masry,2025-12-22,20:00,Cairo Stadium,2
1,242,Ismaily,National Bank,2025-05-10,17:00,Military Academy Stadium,1
1,243,El Dakhleya,Masry,2025-06-06,17:00,Al Salam Stadium,2
1,244,Smouha,ENPPI,2025-07-23,20:00,Military Academy Stadium,1
1,245,Smouha,Pyramids,2025-06-21,17:00,Alexandria Stadium,2
1,246,Al Ahly,ENPPI,2025-05-30,20:00,Military Academy Stadium,1
1,247,National Bank,Smouha,2026-01-23,17:00,Borg El Arab,2
1,248,Ceramica,El Dakhleya,2025-08-20,20:00,Borg El Arab,1
1,249,National Bank,El Gouna,2025-06-03,17:00,Military Academy Stadium,1
1,250,Talaea El Gaish,Alexandria Union,2025-12-05,17:00,Alexandria Stadium,1
1,251,Modern Sport,Talaea El Gaish,2025-08-13,20:00,Suez Stadium,2
1,252,Future,Ceramica,2025-07-19,20:00,El Sekka El Hadeed Stadium,1
1,253,Al Ahly,Ismaily,2025-06-19,17:00,Al Salam Stadium,1
1,254,Smouha,Masry,2025-08-06,17:00,Cairo Stadium,2
1,255,El Gouna,Ismaily,2025-08-04,20:00,Military Academy Stadium,2
1,256,Zamalek,El Dakhleya,2025-06-01,17:00,Air Defense Stadium,1
1,257,Zed,Modern Sport,2025-06-03,17:00,El Sekka El Hadeed Stadium,1
1,258,Smouha,Zed,2025-11-15,17:00,Military Academy Stadium,1
1,259,Zed,Pyramids,2025-12-26,20:00,Zed Club Stadium,2
1,260,Zed,Zamalek,2026-01-16,17:00,Suez Stadium,2
1,261,Alexandria Union,Zamalek,2025-09-17,20:00,Military Academy Stadium,2
1,262,El Gouna,National Bank,2025-05-18,20:00,Petro Sport Stadium,2
1,263,Zamalek,Alexandria Union,2025-06-17,17:00,El Sekka El Hadeed Stadium,1
1,264,Ismaily,Smouha,2025-11-04,17:00,Suez Stadium,1
1,265,Pyramids,El Dakhleya,2025-06-20,17:00,El Sekka El Hadeed Stadium,1
1,266,National Bank,Talaea El Gaish,2025-05-30,17:00,Air Defense Stadium,1
1,267,Pyramids,Ceramica,2026-01-09,20:00,Military Academy Stadium,1
1,268,Ceramica,Masry,2025-08-05,17:00,Al Salam Stadium,2
1,269,ENPPI,Modern Sport,2025-05-02,17:00,Military Academy Stadium,1
1,270,ENPPI,Zed,2026-01-13,20:00,Military Academy Stadium,1
1,271,El Gouna,Ceramica,2025-09-13,17:00,Petro Sport Stadium,2
1,272,Future,Masry,2025-10-07,20:00,Petro Sport Stadium,2
1,273,Ceramica,Smouha,2025-06-06,20:00,Air Defense Stadium,2
1,274,Ismaily,Future,2025-11-05,20:00,Suez Stadium,2
1,275,El Dakhleya,Smouha,2025-06-24,17:00,Alexandria Stadium,2
1,276,Pharco,Modern Sport,2025-05-05,17:00,El Sekka El Hadeed Stadium,2
1,277,Smouha,National Bank,2025-09-22,17:00,Petro Sport Stadium,1
1,278,Pyramids,National Bank,2025-08-04,17:00,Al Salam Stadium,1
1,279,Masry,Pyramids,2025-05-27,17:00,Air Defense Stadium,2
1,280,Wadi Degla,El Dakhleya,2025-09-18,20:00,Alexandria Stadium,2
1,281,Alexandria Union,Smouha,2025-11-07,20:00,El Sekka El Hadeed Stadium,2
1,282,Zed,Smouha,2025-06-16,17:00,Military Academy Stadium,2
1,283,Wadi Degla,El Gouna,2025-10-04,17:00,Borg El Arab,2
1,284,Alexandria Union,Wadi Degla,2025-10-15,17:00,Suez Stadium,1
1,285,El Gouna,Modern Sport,2025-08-09,17:00,Petro Sport Stadium,1
1,286,El Dakhleya,Ceramica,2025-07-06,20:00,El Sekka El Hadeed Stadium,2
1,287,Talaea El Gaish,Masry,2025-10-27,20:00,Air Defense Stadium,2
1,288,Wadi Degla,National Bank,2025-07-20,17:00,Zed Club Stadium,2
1,289,Zed,Talaea El Gaish,2025-12-06,17:00,Air Defense Stadium,2
1,290,Wadi Degla,Future,2025-11-29,17:00,Petro Sport Stadium,2
1,291,Pyramids,Ismaily,2026-01-19,20:00,Military Academy Stadium,1
1,292,Ceramica,Ismaily,2025-11-22,20:00,Cairo Stadium,2
1,293,ENPPI,Smouha,2025-09-25,20:00,Suez Stadium,2
1,294,Future,Wadi Degla,2025-09-02,17:00,Military Academy Stadium,1
1,295,Ismaily,Al Ahly,2025-07-27,17:00,Military Academy Stadium,2
1,296,Talaea El Gaish,Pharco,2025-10-06,17:00,Suez Stadium,1
1,297,ENPPI,Talaea El Gaish,2025-12-03,17:00,Borg El Arab,1
1,298,El Gouna,Al Ahly,2025-10-19,17:00,Petro Sport Stadium,2
1,299,Smouha,Ismaily,2025-11-29,17:00,Air Defense Stadium,2
1,300,El Gouna,Wadi Degla,2025-09-24,17:00,Suez Stadium,1
1,301,Zed,El Gouna,2025-06-02,17:00,Zed Club Stadium,2
1,302,Zamalek,El Gouna,2025-12-26,20:00,Cairo Stadium,1
1,303,Zamalek,Al Ahly,2025-05-14,20:00,Military Academy Stadium,2
1,304,Pharco,Masry,2025-11-23,17:00,Alexandria Stadium,2
1,305,Zamalek,Future,2025-10-14,20:00,Suez Stadium,1
1,306,Pharco,Smouha,2025-05-10,17:00,Zed Club Stadium,2
2,1,Pyramids,Ismaily,2025-07-19,17:00,Suez Stadium,1
2,2,Alexandria Union,Al Ahly,2025-05-26,20:00,Cairo Stadium,2
2,3,Zamalek,Ismaily,2025-12-02,17:00,Petro Sport Stadium,1
2,4,Ismaily,Zed,2025-05-28,17:00,Suez Stadium,1
2,5,Zed,Ismaily,2025-07-11,20:00,Petro Sport Stadium,2
2,6,El Gouna,Ismaily,2025-09-01,17:00,Borg El Arab,2
2,7,Pyramids,National Bank,2025-06-18,20:00,Air Defense Stadium,1
2,8,Zed,Al Ahly,2025-05-04,17:00,El Sekka El Hadeed Stadium,2
2,9,ENPPI,Wadi Degla,2025-05-17,17:00,El Sekka El Hadeed Stadium,1
2,10,Alexandria Union,Masry,2026-01-29,17:00,Al Salam Stadium,2
2,11,Pyramids,El Dakhleya,2025-06-30,17:00,Military Academy Stadium,1
2,12,Wadi Degla,Ceramica,2025-12-05,20:00,El Sekka El Hadeed Stadium,2
2,13,El Dakhleya,Masry,2025-05-02,20:00,Alexandria Stadium,2
2,14,Talaea El Gaish,Wadi Degla,2025-08-04,17:00,Cairo Stadium,1
2,15,El Gouna,Future,2025-10-13,17:00,Zed Club Stadium,2
2,16,ENPPI,Al Ahly,2025-12-14,17:00,Zed Club Stadium,2
2,17,Pharco,Pyramids,2025-06-27,20:00,Military Academy Stadium,2
2,18,Ismaily,ENPPI,2025-12-02,20:00,Petro Sport Stadium,1
2,19,Pyramids,Talaea El Gaish,2025-10-13,17:00,Al Salam Stadium,1
2,20,El Gouna,Alexandria Union,2025-07-03,20:00,Zed Club Stadium,2
2,21,ENPPI,Pyramids,2025-12-26,17:00,Air Defense Stadium,2
2,22,ENPPI,Talaea El Gaish,2025-08-02,17:00,Zed Club Stadium,1
2,23,Pharco,Modern Sport,2025-12-06,17:00,Cairo Stadium,2
2,24,Pyramids,Modern Sport,2025-12-15,20:00,Borg El Arab,1
2,25,Alexandria Union,Smouha,2025-09-07,20:00,Alexandria Stadium,2
2,26,Future,Pharco,2025-10-25,17:00,Air Defense Stadium,1
2,27,Masry,El Dakhleya,2025-06-25,17:00,Zed Club Stadium,1
2,28,Talaea El Gaish,Zamalek,2025-10-27,20:00,Al Salam Stadium,2
2,29,El Gouna,Talaea El Gaish,2025-11-08,20:00,Al Salam Stadium,2
2,30,Future,Modern Sport,2025-05-13,20:00,El Sekka El Hadeed Stadium,1
2,31,El Dakhleya,Future,2025-08-27,17:00,Air Defense Stadium,2
2,32,El Dakhleya,Modern Sport,2025-07-19,20:00,Al Salam Stadium,1
2,33,Talaea El Gaish,Future,2025-10-21,20:00,Petro Sport Stadium,2
2,34,Modern Sport,Ceramica,2025-05-20,17:00,Cairo Stadium,2
2,35,Masry,Ismaily,2025-06-19,20:00,Al Salam Stadium,1
2,36,ENPPI,Alexandria Union,2026-01-20,17:00,Military Academy Stadium,1
2,37,Talaea El Gaish,Modern Sport,2025-12-02,20:00,Cairo Stadium,1
2,38,Zed,National Bank,2025-05-15,17:00,Suez Stadium,2
2,39,Ismaily,Pharco,2025-10-10,17:00,Petro Sport Stadium,1
2,40,Ceramica,National Bank,2025-12-21,20:00,Al Salam Stadium,1
2,41,ENPPI,Ceramica,2025-09-28,20:00,Cairo Stadium,1
2,42,Modern Sport,Wadi Degla,2025-09-30,17:00,Borg El Arab,1
2,43,Ceramica,Talaea El Gaish,2025-06-28,17:00,Alexandria Stadium,1
2,44,Al Ahly,Pyramids,2025-07-28,17:00,El Sekka El Hadeed Stadium,1
2,45,Zamalek,National Bank,2025-07-17,20:00,El Sekka El Hadeed Stadium,1
