Individual,MatchNo,Team1,Team2,Date,Time,Venue,Leg
1,39,Zamalek,Al Ahly,2025-05-22,20:00,Military Academy Stadium,2
1,40,Al Ahly,ENPPI,2025-10-04,17:00,Suez Stadium,1
1,41,Pyramids,National Bank,2025-09-10,20:00,Suez Stadium,1
1,42,Future,National Bank,2025-06-09,17:00,Military Academy Stadium,1
1,43,Zed,El Dakhleya,2025-08-09,20:00,Military Academy Stadium,2
1,44,Ceramica,Al Ahly,2025-08-22,20:00,Zed Club Stadium,2
1,45,Zed,Pyramids,2026-01-09,17:00,Alexandria Stadium,2
1,46,Zed,Talaea El Gaish,2025-12-18,17:00,Petro Sport Stadium,2
1,47,National Bank,Pharco,2026-01-12,17:00,Cairo Stadium,1
1,48,Pharco,Zamalek,2025-10-14,20:00,Air Defense Stadium,2
1,49,Pharco,El Gouna,2025-06-11,17:00,Suez Stadium,2
1,50,Future,El Gouna,2025-10-19,20:00,Suez Stadium,1
1,51,Masry,Alexandria Union,2025-12-22,20:00,Cairo Stadium,1
1,52,Masry,Al Ahly,2025-07-26,17:00,Air Defense Stadium,2
1,53,Ceramica,Pyramids,2026-01-07,17:00,Military Academy Stadium,2
1,54,Talaea El Gaish,Ceramica,2025-11-18,17:00,Cairo Stadium,2
1,55,El Gouna,Masry,2025-09-08,20:00,Petro Sport Stadium,2
1,56,Ismaily,Pharco,2025-11-11,17:00,El Sekka El Hadeed Stadium,1
1,57,Zed,Ceramica,2025-09-10,20:00,Al Salam Stadium,2
1,58,Smouha,Modern Sport,2025-10-16,20:00,Military Academy Stadium,1
1,59,Masry,Pyramids,2025-07-15,20:00,Air Defense Stadium,2
1,60,Ismaily,Wadi Degla,2025-10-17,20:00,Alexandria Stadium,1
1,61,Modern Sport,Future,2025-10-29,20:00,Military Academy Stadium,2
1,62,Zed,Smouha,2025-11-19,17:00,Zed Club Stadium,2
1,63,ENPPI,Pharco,2025-09-18,20:00,Zed Club Stadium,1
1,64,Zed,Ismaily,2026-01-13,20:00,Air Defense Stadium,2
1,65,ENPPI,Future,2026-01-12,17:00,Suez Stadium,2
1,66,Wadi Degla,Modern Sport,2026-01-15,17:00,Cairo Stadium,2
1,67,Wadi Degla,National Bank,2025-07-09,20:00,Al Salam Stadium,2
1,68,Pyramids,Smouha,2025-10-23,17:00,Petro Sport Stadium,1
1,69,Modern Sport,Ceramica,2025-05-13,20:00,Zed Club Stadium,2
1,70,Smouha,Al Ahly,2025-12-01,20:00,El Sekka El Hadeed Stadium,2
1,71,Ismaily,Pyramids,2025-11-28,17:00,Cairo Stadium,2
1,72,Wadi Degla,Ceramica,2026-01-06,17:00,Al Salam Stadium,2
1,73,Zamalek,Talaea El Gaish,2026-01-01,17:00,Air Defense Stadium,1
1,74,Alexandria Union,Ismaily,2026-01-04,20:00,Military Academy Stadium,2
1,75,Zed,National Bank,2025-08-31,17:00,Military Academy Stadium,2
1,76,ENPPI,Smouha,2025-07-19,17:00,Suez Stadium,2
1,77,Pyramids,Zamalek,2025-10-25,20:00,Cairo Stadium,2
1,78,Ismaily,Zamalek,2025-06-28,17:00,Borg El Arab,2
1,79,Wadi Degla,Masry,2025-07-07,20:00,Petro Sport Stadium,2
1,80,Masry,National Bank,2025-06-30,17:00,Zed Club Stadium,1
1,81,Modern Sport,Pyramids,2025-09-29,17:00,Borg El Arab,2
1,82,Ceramica,Pharco,2025-06-09,17:00,Alexandria Stadium,1
1,83,Masry,ENPPI,2025-12-27,17:00,Alexandria Stadium,1
1,84,Talaea El Gaish,Wadi Degla,2025-10-31,20:00,Air Defense Stadium,1
1,85,Modern Sport,Talaea El Gaish,2025-10-26,20:00,El Sekka El Hadeed Stadium,2
1,86,Alexandria Union,Zamalek,2025-10-28,20:00,Military Academy Stadium,2
1,87,Pyramids,ENPPI,2025-05-04,20:00,Suez Stadium,1
1,88,Ceramica,Talaea El Gaish,2026-01-20,20:00,Al Salam Stadium,1
1,89,El Dakhleya,Al Ahly,2025-09-28,17:00,Air Defense Stadium,2
1,90,El Dakhleya,Modern Sport,2025-08-31,17:00,Cairo Stadium,1
1,91,National Bank,Modern Sport,2026-01-30,20:00,Zed Club Stadium,1
1,92,Pharco,Wadi Degla,2025-06-19,20:00,Alexandria Stadium,1
1,93,Modern Sport,El Dakhleya,2025-06-29,17:00,Petro Sport Stadium,2
1,94,National Bank,Wadi Degla,2025-11-13,20:00,El Sekka El Hadeed Stadium,1
1,95,Future,ENPPI,2025-09-03,20:00,Al Salam Stadium,1
1,96,National Bank,Zed,2026-01-25,17:00,Military Academy Stadium,1
1,97,Pyramids,El Dakhleya,2025-11-21,20:00,Al Salam Stadium,1
1,98,Smouha,Alexandria Union,2025-07-01,17:00,Alexandria Stadium,1
1,99,Ismaily,El Dakhleya,2025-11-26,20:00,Al Salam Stadium,1
1,100,Ceramica,Modern Sport,2025-09-09,20:00,El Sekka El Hadeed Stadium,1
1,101,Zed,Alexandria Union,2025-09-27,20:00,Al Salam Stadium,2
1,102,Alexandria Union,Pharco,2025-07-06,20:00,Borg El Arab,1
1,103,Talaea El Gaish,Al Ahly,2025-08-04,17:00,El Sekka El Hadeed Stadium,2
1,104,Pharco,Zed,2025-11-03,17:00,Petro Sport Stadium,2
1,105,ENPPI,Talaea El Gaish,2025-06-27,20:00,Borg El Arab,1
1,106,Smouha,Future,2025-11-05,17:00,Cairo Stadium,2
1,107,National Bank,Al Ahly,2025-07-04,20:00,Alexandria Stadium,2
1,108,Future,Zed,2025-08-15,17:00,Cairo Stadium,1
1,109,Pyramids,Masry,2025-07-07,17:00,Alexandria Stadium,1
1,110,El Gouna,Ceramica,2025-12-14,17:00,Cairo Stadium,2
1,111,Alexandria Union,Zed,2025-12-17,17:00,Petro Sport Stadium,1
1,112,Pharco,Ismaily,2025-11-11,17:00,Borg El Arab,2
1,113,Masry,Talaea El Gaish,2025-05-23,20:00,Al Salam Stadium,1
1,114,Pharco,Al Ahly,2026-01-06,20:00,Borg El Arab,2
1,115,National Bank,El Gouna,2025-07-05,17:00,Zed Club Stadium,1
1,116,Future,Alexandria Union,2025-08-05,17:00,Zed Club Stadium,1
1,117,Ceramica,ENPPI,2025-07-21,17:00,Suez Stadium,2
1,118,Zed,Modern Sport,2025-05-22,17:00,Borg El Arab,1
1,119,Pyramids,Ismaily,2025-10-19,20:00,Military Academy Stadium,1
1,120,National Bank,El Dakhleya,2025-10-07,20:00,Zed Club Stadium,1
1,121,Talaea El Gaish,El Dakhleya,2025-05-09,17:00,Zed Club Stadium,1
1,122,Al Ahly,El Gouna,2025-06-01,20:00,Cairo Stadium,1
1,123,ENPPI,Wadi Degla,2025-10-01,20:00,Petro Sport Stadium,1
1,124,Al Ahly,Pharco,2025-09-11,20:00,Zed Club Stadium,1
1,125,ENPPI,Masry,2025-08-28,20:00,Alexandria Stadium,2
1,126,ENPPI,Pyramids,2025-10-16,17:00,Petro Sport Stadium,2
1,127,Alexandria Union,Al Ahly,2025-11-13,17:00,Al Salam Stadium,2
1,128,Ismaily,National Bank,2025-08-29,20:00,Alexandria Stadium,1
1,129,National Bank,Future,2026-01-22,20:00,Zed Club Stadium,2
1,130,Alexandria Union,National Bank,2025-12-26,17:00,Petro Sport Stadium,2
1,131,Future,Talaea El Gaish,2025-07-27,20:00,Air Defense Stadium,1
1,132,Talaea El Gaish,Pharco,2025-10-24,20:00,Borg El Arab,1
1,133,Alexandria Union,Modern Sport,2025-07-27,20:00,Air Defense Stadium,1
1,134,Smouha,Zed,2025-05-25,17:00,Military Academy Stadium,1
1,135,ENPPI,Zed,2025-07-08,17:00,Military Academy Stadium,1
1,136,Alexandria Union,El Dakhleya,2025-10-09,17:00,Military Academy Stadium,1
1,137,El Dakhleya,Pharco,2025-09-23,17:00,Al Salam Stadium,1
1,138,Al Ahly,Smouha,2026-01-25,20:00,Petro Sport Stadium,1
1,139,Ismaily,Alexandria Union,2025-11-01,20:00,Zed Club Stadium,1
1,140,Masry,Smouha,2025-11-14,17:00,El Sekka El Hadeed Stadium,1
1,141,Ismaily,Smouha,2025-07-19,17:00,Zed Club Stadium,1
1,142,Pyramids,Ceramica,2025-05-24,20:00,Military Academy Stadium,1
1,143,El Gouna,National Bank,2025-08-01,20:00,Cairo Stadium,2
1,144,Wadi Degla,Pharco,2026-01-27,20:00,El Sekka El Hadeed Stadium,2
1,145,Pharco,Alexandria Union,2025-12-27,17:00,Zed Club Stadium,2
1,146,Future,Masry,2025-07-11,17:00,Zed Club Stadium,2
1,147,Alexandria Union,Wadi Degla,2025-09-02,17:00,Petro Sport Stadium,1
1,148,Future,El Dakhleya,2025-08-13,17:00,Air Defense Stadium,1
1,149,ENPPI,Ceramica,2025-07-20,20:00,Cairo Stadium,1
1,150,Modern Sport,Al Ahly,2025-06-11,17:00,El Sekka El Hadeed Stadium,2
1,151,Talaea El Gaish,ENPPI,2025-07-11,17:00,Alexandria Stadium,2
1,152,El Gouna,Zed,2026-01-02,17:00,Zed Club Stadium,1
1,153,Zed,ENPPI,2025-09-26,17:00,Suez Stadium,2
1,154,Ceramica,Smouha,2025-11-04,20:00,Suez Stadium,2
1,155,Al Ahly,Alexandria Union,2025-05-28,20:00,Air Defense Stadium,1
1,156,El Dakhleya,Talaea El Gaish,2025-07-02,17:00,Al Salam Stadium,2
1,157,Al Ahly,Pyramids,2026-01-16,20:00,Petro Sport Stadium,1
1,158,Zed,Pharco,2025-09-23,20:00,Al Salam Stadium,1
1,159,Ceramica,Ismaily,2025-11-26,17:00,Alexandria Stadium,2
1,160,Smouha,National Bank,2025-09-07,20:00,Air Defense Stadium,1
1,161,Wadi Degla,Talaea El Gaish,2025-12-30,20:00,El Sekka El Hadeed Stadium,2
1,162,Al Ahly,Ismaily,2025-08-15,20:00,Al Salam Stadium,1
1,163,Al Ahly,Masry,2025-11-17,17:00,El Sekka El Hadeed Stadium,1
1,164,Zamalek,Ismaily,2025-11-03,20:00,Zed Club Stadium,1
1,165,Ismaily,El Gouna,2025-07-18,20:00,Alexandria Stadium,1
1,166,ENPPI,Al Ahly,2025-08-31,20:00,Cairo Stadium,2
1,167,Zed,Future,2025-05-31,17:00,El Sekka El Hadeed Stadium,2
1,168,Talaea El Gaish,Alexandria Union,2026-01-18,17:00,Air Defense Stadium,1
1,169,Pharco,Smouha,2025-11-07,17:00,El Sekka El Hadeed Stadium,2
1,170,El Dakhleya,Wadi Degla,2026-01-22,20:00,Borg El Arab,1
1,171,Smouha,Ismaily,2025-09-09,17:00,Alexandria Stadium,2
1,172,Masry,Wadi Degla,2025-12-08,17:00,Borg El Arab,1
1,173,El Dakhleya,Zamalek,2026-01-18,20:00,Borg El Arab,2
1,174,El Dakhleya,El Gouna,2025-08-26,17:00,Petro Sport Stadium,1
1,175,Wadi Degla,Future,2025-05-24,20:00,El Sekka El Hadeed Stadium,2
1,176,Zamalek,Alexandria Union,2025-05-14,17:00,Cairo Stadium,1
1,177,Alexandria Union,Pyramids,2025-12-28,20:00,Cairo Stadium,2
1,178,Masry,Future,2025-06-12,20:00,Borg El Arab,1
1,179,Talaea El Gaish,Masry,2025-09-17,20:00,Alexandria Stadium,2
1,180,ENPPI,National Bank,2025-11-16,17:00,Cairo Stadium,1
1,181,El Dakhleya,Zed,2025-06-30,17:00,Petro Sport Stadium,1
1,182,Ceramica,Masry,2026-01-01,17:00,Air Defense Stadium,2
1,183,ENPPI,Ismaily,2025-11-14,17:00,Borg El Arab,2
1,184,ENPPI,Zamalek,2025-10-06,17:00,Military Academy Stadium,2
1,185,Masry,Pharco,2025-06-12,17:00,Borg El Arab,1
1,186,Zamalek,El Dakhleya,2025-08-28,20:00,Suez Stadium,1
1,187,National Bank,Talaea El Gaish,2025-07-06,17:00,Military Academy Stadium,1
1,188,Smouha,El Dakhleya,2026-01-27,20:00,Cairo Stadium,1
1,189,Al Ahly,El Dakhleya,2025-09-06,17:00,Zed Club Stadium,1
1,190,Future,Ismaily,2025-08-15,17:00,Cairo Stadium,1
1,191,El Dakhleya,Smouha,2026-01-31,17:00,Alexandria Stadium,2
1,192,Future,Ceramica,2025-12-29,17:00,Suez Stadium,1
1,193,Future,Pyramids,2025-11-02,17:00,Cairo Stadium,2
1,194,Modern Sport,Alexandria Union,2025-10-09,20:00,Petro Sport Stadium,2
1,195,Smouha,Pyramids,2025-05-10,17:00,Military Academy Stadium,2
1,196,Ismaily,Zed,2025-09-22,20:00,Al Salam Stadium,1
1,197,Zamalek,Masry,2025-11-02,17:00,Cairo Stadium,1
1,198,Pyramids,Pharco,2025-10-08,20:00,Borg El Arab,1
1,199,El Dakhleya,Masry,2025-11-29,17:00,Zed Club Stadium,2
1,200,Masry,El Dakhleya,2026-01-24,20:00,Alexandria Stadium,1
1,201,Future,Modern Sport,2025-12-28,17:00,Military Academy Stadium,1
1,202,National Bank,Alexandria Union,2025-10-19,20:00,Cairo Stadium,1
1,203,Modern Sport,Zed,2026-01-01,20:00,Military Academy Stadium,2
1,204,National Bank,Masry,2026-01-20,20:00,El Sekka El Hadeed Stadium,2
1,205,Pyramids,Future,2025-10-24,17:00,Cairo Stadium,1
1,206,Alexandria Union,Ceramica,2025-08-19,17:00,Petro Sport Stadium,2
1,207,Modern Sport,ENPPI,2025-11-09,20:00,Zed Club Stadium,2
1,208,Future,Wadi Degla,2026-01-04,20:00,Air Defense Stadium,1
1,209,Ismaily,Future,2025-06-21,17:00,Zed Club Stadium,2
1,210,Modern Sport,Masry,2026-01-01,20:00,Cairo Stadium,2
1,211,El Gouna,Future,2026-01-21,17:00,El Sekka El Hadeed Stadium,2
1,212,Talaea El Gaish,Smouha,2025-05-09,20:00,Zed Club Stadium,2
1,213,ENPPI,Alexandria Union,2025-06-30,17:00,Cairo Stadium,1
1,214,Al Ahly,Zed,2025-12-06,17:00,El Sekka El Hadeed Stadium,1
1,215,National Bank,Zamalek,2025-10-29,20:00,Borg El Arab,2
1,216,Pyramids,Wadi Degla,2025-11-16,17:00,Suez Stadium,1
1,217,Pharco,Modern Sport,2025-06-23,20:00,Zed Club Stadium,2
1,218,Wadi Degla,Pyramids,2025-12-11,20:00,Petro Sport Stadium,2
1,219,El Gouna,Pharco,2025-08-16,20:00,El Sekka El Hadeed Stadium,1
1,220,Smouha,Wadi Degla,2025-08-28,17:00,Petro Sport Stadium,1
1,221,Pharco,Pyramids,2025-09-15,17:00,Petro Sport Stadium,2
1,222,El Gouna,Ismaily,2025-12-10,17:00,Zed Club Stadium,2
1,223,Wadi Degla,Zed,2025-06-18,17:00,Alexandria Stadium,2
1,224,El Dakhleya,Pyramids,2026-01-15,20:00,Zed Club Stadium,2
1,225,Wadi Degla,ENPPI,2025-08-16,20:00,Suez Stadium,2
1,226,Ceramica,Alexandria Union,2025-11-07,17:00,Zed Club Stadium,1
1,227,Zamalek,National Bank,2025-05-27,17:00,Military Academy Stadium,1
1,228,Smouha,ENPPI,2025-12-23,20:00,El Sekka El Hadeed Stadium,1
1,229,Pharco,El Dakhleya,2025-07-27,17:00,Suez Stadium,2
1,230,Al Ahly,Wadi Degla,2025-09-14,17:00,Suez Stadium,1
1,231,Ismaily,Modern Sport,2025-12-28,20:00,Borg El Arab,1
1,232,Ismaily,Talaea El Gaish,2025-12-17,17:00,Petro Sport Stadium,1
1,233,El Gouna,ENPPI,2026-01-14,20:00,Borg El Arab,2
1,234,Pharco,Future,2025-05-28,17:00,Petro Sport Stadium,2
1,235,Masry,Ceramica,2025-12-10,20:00,Air Defense Stadium,1
1,236,Pharco,National Bank,2026-01-06,20:00,Al Salam Stadium,2
1,237,El Gouna,Alexandria Union,2025-11-11,17:00,Suez Stadium,2
1,238,El Gouna,Modern Sport,2025-06-06,20:00,Borg El Arab,1
1,239,Pharco,Talaea El Gaish,2025-08-30,17:00,Zed Club Stadium,2
1,240,Talaea El Gaish,Zamalek,2025-09-09,17:00,Petro Sport Stadium,2
1,241,Zamalek,Wadi Degla,2025-08-21,17:00,Zed Club Stadium,1
1,242,Alexandria Union,Talaea El Gaish,2025-10-31,17:00,Alexandria Stadium,2
1,243,Talaea El Gaish,Ismaily,2025-09-17,17:00,Al Salam Stadium,2
1,244,Zamalek,Pharco,2025-05-19,20:00,Suez Stadium,1
1,245,Zamalek,Ceramica,2025-10-28,20:00,Military Academy Stadium,1
1,246,Pyramids,Alexandria Union,2025-07-09,20:00,Military Academy Stadium,1
1,247,Ismaily,Ceramica,2025-10-02,20:00,Air Defense Stadium,1
1,248,Zed,Masry,2025-06-02,20:00,El Sekka El Hadeed Stadium,2
1,249,Wadi Degla,Smouha,2025-10-08,17:00,Alexandria Stadium,2
1,250,El Gouna,Talaea El Gaish,2025-05-15,17:00,El Sekka El Hadeed Stadium,2
1,251,El Dakhleya,Future,2025-06-16,20:00,Suez Stadium,2
1,252,Pharco,ENPPI,2025-10-23,20:00,Petro Sport Stadium,2
1,253,Pyramids,Zed,2025-08-26,17:00,Borg El Arab,1
1,254,El Gouna,Wadi Degla,2025-08-05,20:00,Al Salam Stadium,1
1,255,Zamalek,Pyramids,2025-10-01,17:00,Borg El Arab,1
1,256,El Gouna,Smouha,2025-12-13,17:00,Zed Club Stadium,2
1,257,ENPPI,El Dakhleya,2025-06-09,17:00,Military Academy Stadium,1
1,258,Zamalek,ENPPI,2026-01-11,20:00,Petro Sport Stadium,1
1,259,El Dakhleya,Ismaily,2025-12-26,17:00,Cairo Stadium,2
1,260,Al Ahly,National Bank,2025-08-08,20:00,Air Defense Stadium,1
1,261,National Bank,Ceramica,2025-07-28,17:00,Military Academy Stadium,2
1,262,Wadi Degla,El Gouna,2026-01-08,20:00,Alexandria Stadium,2
1,263,Pyramids,El Gouna,2025-11-04,20:00,Military Academy Stadium,1
1,264,Ceramica,Zamalek,2025-05-09,17:00,Air Defense Stadium,2
1,265,Alexandria Union,El Gouna,2025-12-17,20:00,Borg El Arab,1
1,266,Talaea El Gaish,Zed,2025-08-05,17:00,El Sekka El Hadeed Stadium,1
1,267,Ceramica,National Bank,2025-07-27,20:00,Zed Club Stadium,1
1,268,Zamalek,Smouha,2025-11-16,17:00,Air Defense Stadium,1
1,269,Wadi Degla,El Dakhleya,2025-08-18,20:00,Alexandria Stadium,2
1,270,Al Ahly,Future,2025-10-09,17:00,Alexandria Stadium,1
1,271,Zamalek,Future,2025-07-29,20:00,Alexandria Stadium,1
1,272,Wadi Degla,Al Ahly,2025-06-25,20:00,Military Academy Stadium,2
1,273,Alexandria Union,Future,2025-10-06,17:00,Suez Stadium,2
1,274,Future,Smouha,2026-01-07,20:00,Zed Club Stadium,1
1,275,Wadi Degla,Ismaily,2026-01-25,20:00,Al Salam Stadium,2
1,276,Zed,El Gouna,2025-09-08,17:00,Cairo Stadium,2
1,277,Masry,Ismaily,2025-09-28,20:00,El Sekka El Hadeed Stadium,1
1,278,Talaea El Gaish,El Gouna,2025-12-09,20:00,Military Academy Stadium,1
1,279,El Gouna,Al Ahly,2025-05-14,17:00,Petro Sport Stadium,2
1,280,Ceramica,El Gouna,2026-01-11,17:00,Borg El Arab,1
1,281,Zed,Zamalek,2025-10-22,17:00,Suez Stadium,2
1,282,National Bank,Pyramids,2025-07-25,20:00,Al Salam Stadium,2
1,283,Masry,Zamalek,2025-11-01,20:00,Borg El Arab,2
1,284,Ismaily,Al Ahly,2025-10-05,17:00,Borg El Arab,2
1,285,Ceramica,El Dakhleya,2026-01-07,17:00,Air Defense Stadium,1
1,286,ENPPI,El Gouna,2025-05-08,20:00,Suez Stadium,1
1,287,Zed,Wadi Degla,2026-01-02,17:00,Alexandria Stadium,1
1,288,El Dakhleya,Ceramica,2025-05-18,17:00,El Sekka El Hadeed Stadium,2
1,289,Pharco,Ceramica,2025-06-17,20:00,Petro Sport Stadium,2
1,290,Smouha,Zamalek,2025-05-18,20:00,Zed Club Stadium,2
1,291,Alexandria Union,Masry,2026-01-05,20:00,El Sekka El Hadeed Stadium,2
1,292,Pyramids,Modern Sport,2025-12-14,20:00,El Sekka El Hadeed Stadium,1
1,293,Zed,Al Ahly,2025-10-17,17:00,Zed Club Stadium,2
1,294,National Bank,Ismaily,2025-08-27,17:00,Zed Club Stadium,2
1,295,Zamalek,El Gouna,2025-09-04,17:00,Military Academy Stadium,1
1,296,Zamalek,Zed,2025-12-27,17:00,Air Defense Stadium,1
1,297,National Bank,ENPPI,2025-09-12,17:00,Air Defense Stadium,2
1,298,Ceramica,Future,2025-06-06,20:00,Air Defense Stadium,2
1,299,Future,Zamalek,2025-07-16,17:00,El Sekka El Hadeed Stadium,2
1,300,Modern Sport,Smouha,2026-01-13,20:00,El Sekka El Hadeed Stadium,2
1,301,Zamalek,Modern Sport,2026-01-25,17:00,Zed Club Stadium,1
1,302,Masry,Modern Sport,2025-12-22,17:00,Military Academy Stadium,1
1,303,Wadi Degla,Zamalek,2025-08-20,17:00,Borg El Arab,2
1,304,Talaea El Gaish,Modern Sport,2025-07-02,20:00,Suez Stadium,1
1,305,Wadi Degla,Alexandria Union,2025-11-06,17:00,Cairo Stadium,2
1,306,Smouha,Talaea El Gaish,2025-11-12,17:00,Suez Stadium,1
2,1,ENPPI,Modern Sport,2025-07-20,20:00,Military Academy Stadium,1
2,2,Wadi Degla,Ismaily,2025-05-10,17:00,El Sekka El Hadeed Stadium,2
2,3,Talaea El Gaish,Al Ahly,2026-01-12,20:00,Cairo Stadium,2
2,4,Modern Sport,ENPPI,2026-01-31,17:00,Alexandria Stadium,2
2,5,Smouha,Ismaily,2025-09-28,20:00,Cairo Stadium,2
2,6,Smouha,Talaea El Gaish,2025-10-30,17:00,Al Salam Stadium,1
2,7,National Bank,Modern Sport,2025-07-07,17:00,Suez Stadium,1
2,8,Wadi Degla,El Gouna,2025-05-26,20:00,Alexandria Stadium,2
2,9,Future,Wadi Degla,2025-10-03,17:00,Suez Stadium,1
2,10,Smouha,Future,2025-12-02,20:00,Alexandria Stadium,2
2,11,Pharco,El Dakhleya,2025-08-04,17:00,Al Salam Stadium,2
2,12,Masry,El Dakhleya,2025-10-04,17:00,Suez Stadium,1
2,13,National Bank,ENPPI,2025-12-07,17:00,Military Academy Stadium,2
2,14,Talaea El Gaish,Future,2025-07-30,20:00,Borg El Arab,2
2,15,ENPPI,El Dakhleya,2025-06-17,17:00,Zed Club Stadium,1
2,16,Masry,Zed,2025-09-21,20:00,El Sekka El Hadeed Stadium,1
2,17,Pyramids,Modern Sport,2026-01-02,17:00,Alexandria Stadium,1
2,18,Alexandria Union,Ceramica,2025-06-24,20:00,El Sekka El Hadeed Stadium,2
2,19,Alexandria Union,Talaea El Gaish,2025-08-27,17:00,Petro Sport Stadium,2
2,20,Pharco,El Gouna,2025-11-04,20:00,Alexandria Stadium,2
2,21,Alexandria Union,Pyramids,2025-10-19,17:00,Alexandria Stadium,2
2,22,Smouha,National Bank,2025-11-19,17:00,El Sekka El Hadeed Stadium,1
2,23,Ceramica,Modern Sport,2025-05-16,17:00,Alexandria Stadium,1
2,24,Ceramica,Talaea El Gaish,2025-11-11,17:00,El Sekka El Hadeed Stadium,1
2,25,Smouha,Masry,2025-12-29,17:00,Petro Sport Stadium,2
2,26,Modern Sport,Talaea El Gaish,2025-08-29,20:00,Cairo Stadium,2
2,27,ENPPI,Masry,2025-06-13,20:00,Borg El Arab,2
2,28,Ismaily,Talaea El Gaish,2025-06-06,17:00,Air Defense Stadium,1
2,29,Al Ahly,Pyramids,2025-09-15,17:00,El Sekka El Hadeed Stadium,1
2,30,Ismaily,Future,2025-07-23,17:00,Military Academy Stadium,2
2,31,Zed,Future,2025-12-20,20:00,Al Salam Stadium,2
2,32,Ismaily,Pharco,2025-07-11,17:00,Air Defense Stadium,1
2,33,Pharco,Masry,2025-12-17,17:00,Cairo Stadium,2
2,34,Ceramica,Zed,2025-06-05,17:00,Zed Club Stadium,1
2,35,Pharco,Modern Sport,2025-07-22,17:00,Cairo Stadium,2
2,36,Zed,Pharco,2025-08-22,20:00,El Sekka El Hadeed Stadium,1
2,37,Wadi Degla,ENPPI,2025-12-21,20:00,Military Academy Stadium,2
2,38,Zamalek,El Gouna,2026-01-19,17:00,Al Salam Stadium,1
2,39,El Gouna,Ceramica,2025-12-18,20:00,Cairo Stadium,2
2,40,Alexandria Union,ENPPI,2025-10-30,20:00,Air Defense Stadium,2
2,41,Future,ENPPI,2025-12-24,20:00,Petro Sport Stadium,1
2,42,Zed,Ismaily,2025-12-01,20:00,Cairo Stadium,2
2,43,El Dakhleya,Wadi Degla,2026-01-24,20:00,Zed Club Stadium,1
2,44,El Gouna,Al Ahly,2025-07-17,17:00,Al Salam Stadium,2
2,45,Zamalek,Pyramids,2025-08-11,20:00,Petro Sport Stadium,1
2,46,Zamalek,ENPPI,2025-10-09,20:00,Suez Stadium,1
